Task 187/214: --problem pollu --model stiff --profile fast --seed 13 --pretraining derivmatch --training shooting
Logging to /home/txenakis/projects/BVPsolver/logs/run_main_20252509_187.log
┌ Warning: Verbosity toggle: dt_epsilon 
│  Initial timestep too small (near machine epsilon), using default: dt = 1.0e-6
└ @ OrdinaryDiffEqCore ~/.julia/packages/OrdinaryDiffEqCore/NVUZl/src/initdt.jl:222
pollu  model=stiff d=20 tlen=50 profile=fast seed=13  solver=Rodas5  N=4744
  derivmatch lr=0.01 iter=510/10200 loss=0.04188
  derivmatch lr=0.01 iter=1020/10200 loss=0.0133
  derivmatch lr=0.01 iter=1530/10200 loss=0.006286
  derivmatch lr=0.01 iter=2040/10200 loss=0.004258
  derivmatch lr=0.01 iter=2550/10200 loss=0.005524
  derivmatch lr=0.01 iter=3060/10200 loss=0.003146
  derivmatch lr=0.01 iter=3570/10200 loss=0.002249
  derivmatch lr=0.01 iter=4080/10200 loss=0.002233
  derivmatch lr=0.01 iter=4590/10200 loss=0.001563
  derivmatch lr=0.01 iter=5100/10200 loss=0.001656
  derivmatch lr=0.01 iter=5610/10200 loss=0.001597
  derivmatch lr=0.01 iter=6120/10200 loss=0.00133
  derivmatch lr=0.01 iter=6630/10200 loss=0.001258
  derivmatch lr=0.01 iter=7140/10200 loss=0.003826
  derivmatch lr=0.01 iter=7650/10200 loss=0.002408
  derivmatch lr=0.01 iter=8160/10200 loss=0.001822
  derivmatch lr=0.01 iter=8670/10200 loss=0.001651
  derivmatch lr=0.01 iter=9180/10200 loss=0.001536
  derivmatch lr=0.01 iter=9690/10200 loss=0.001065
  derivmatch lr=0.01 iter=10200/10200 loss=0.00105
  derivmatch lr=0.01 iter=10200/10200 loss=0.0005684
  derivmatch lr=0.003 iter=375/7500 loss=0.0001461
  derivmatch lr=0.003 iter=750/7500 loss=0.0001077
  derivmatch lr=0.003 iter=1125/7500 loss=0.0001819
  derivmatch lr=0.003 iter=1500/7500 loss=0.0001588
  derivmatch lr=0.003 iter=1875/7500 loss=8.812e-5
  derivmatch lr=0.003 iter=2250/7500 loss=0.0002063
  derivmatch lr=0.003 iter=2625/7500 loss=0.0002584
  derivmatch lr=0.003 iter=3000/7500 loss=0.0001721
  derivmatch lr=0.003 iter=3375/7500 loss=0.0001408
